Date,SMS,ET,rainfall,runoff,GWSA
2000-01-01,12.62016393978266,0.8341858505166964,0.0263850627789514,0.0099897639806051,-0.697739154048699
2000-01-02,12.572260429185873,0.830680089105635,0.0365862338892778,0.008956073861206,-0.6987728441680982
2000-01-03,12.528340073674771,0.8126213344710785,0.0276623054863534,0.0069265046933552,-0.700802413335949
2000-01-04,12.487565649973938,0.8132667152459399,0.0489515424618929,0.0067176262478573,-0.7010112917814468
2000-01-05,12.449228763406724,0.8100434232993114,0.0630088085398087,0.0053564550181963,-0.7023724630111079
2000-01-06,12.413875385491686,0.7948061015195813,0.0555296263665917,0.0043245385041783,-0.7034043795251258
2000-01-07,12.386680755424525,0.7841829567335212,0.055772957361477,0.0078353865265485,-0.6998935315027557
2000-01-08,12.384555313085157,0.7800754093574328,0.2764613885437359,0.0164282743265368,-0.6913006437027673
2000-01-09,12.411107327187532,0.7811102835442576,0.5469186881965975,0.0183042084189639,-0.6894247096103403
2000-01-10,12.415622889771107,0.796535899224186,0.3065456708296611,0.0160140734228657,-0.6917148446064385
2000-01-11,12.411536257157437,0.8447528390855881,0.4998315719798075,0.0133458062480833,-0.6943831117812208
2000-01-12,12.96143526165259,0.9212608865253306,2.923540462076759,0.0468417177012112,-0.660887200328093
2000-01-13,14.502462488582374,0.9062480123087384,2.545066914056571,0.0505258140801859,-0.6572031039491183
2000-01-14,14.373016803945148,0.9405966676322296,0.4158221880900624,0.0194166117238375,-0.6883123063054667
2000-01-15,14.136964724294742,0.9430997503259626,0.4026680959848715,0.0087506988790214,-0.6989782191502828
2000-01-16,13.962463403335748,0.9660091027214482,0.0923782180153122,0.0059806858787962,-0.701748232150508
2000-01-17,13.771039889369105,0.9476347192995768,0.0313326510183173,0.00938009159862,-0.6983488264306842
2000-01-18,13.609210146537624,0.9853309065254802,0.0181227075619487,0.0132215626681904,-0.6945073553611137
2000-01-19,13.473199192365795,0.9756627800243962,0.3880909276238181,0.0197233568014138,-0.6880055612278904
2000-01-20,13.383374583848711,0.931606673146281,0.3422200228799736,0.0256643288171641,-0.6820645892121401
2000-01-21,13.417271100577077,0.9380131604752432,0.6117743336638953,0.043130475040101,-0.6645984429892031
2000-01-22,13.455641417658292,0.9422621628190346,0.7325612962554039,0.0481939358676394,-0.6595349821616647
2000-01-23,13.573194293121984,0.9337618708492658,0.7484513812373161,0.0480248604233299,-0.6597040576059743
2000-01-24,13.549680239559535,0.9418866530291116,0.4470016121608369,0.0480385481901432,-0.659690369839161
2000-01-25,13.663680410712196,1.018306158507781,1.408835845986347,0.0388817405616851,-0.668847177467619
