Date,rzsm_gldas_mean_mm,ssm_gldas_mean_mm,et_gldas_mean_mm,ppt_era5_mean_mm,runoff_era5_mean_mm,tmax_era5_degC,tmin_era5_degC,et_gldas_sum_mm,ppt_era5_sum_mm,runoff_era5_sum_mm
2002-01-01,211.38288255258453,15.866890538787304,6.895336922076629,0.0373449187312743,0.0065767665496998,17.660750642488427,4.641199469622335,63947.97654768846,346.6203047948726,61.04286482521127
2002-01-02,210.74014447753723,15.832494678163858,6.588813540570017,0.0153761128197505,0.0089149155818232,17.98206757252877,4.540362344195652,61105.25106038919,142.7148081508337,82.74461054334454
2002-01-03,210.27380779257268,15.9619316420347,7.2020881427548735,0.0061322376180403,0.0079529297715961,18.004279333783998,4.620612053140968,66792.81503601566,56.91692857962216,73.81585059212698
2002-01-04,209.77147013600944,16.05318471104285,7.461623090752287,0.0154237925110907,0.008535806926556,18.24151771439974,4.780719880804095,69199.76555277819,143.15735160001822,79.22587862201765
2002-01-05,209.3763045041184,16.227745967603195,8.038473972061466,0.0092899511614841,0.0078455490955566,18.390355479066965,5.132045307447115,74549.53265572684,86.22553783806877,72.81918695159995
2002-01-06,209.468860007774,16.751107611471053,8.924407032495246,0.0388505912790358,0.0081632450982468,18.693558279458745,5.730119465215267,82765.75576587752,360.59534330497934,75.76791167843574
2002-01-07,209.328250046245,16.851035547793302,8.496984640549698,0.0679164576945212,0.0072604836922386,18.705394319974808,5.967574900323699,78801.80195115093,630.3728610593685,67.38884849291227
2002-01-08,209.0164938809485,16.94001668319357,9.01940095114998,0.100007928803975,0.00703081841192,18.536546231328565,5.789063110881511,83646.73793556048,928.2328076110624,65.25718902840332
2002-01-09,208.2287378695902,16.72611397496241,9.328941125820116,0.0369723704140658,0.0079313952432247,18.900599453571203,5.685222762440633,86517.44143476119,343.1624632558172,73.61597588249283
2002-01-10,207.3865692310104,16.6085297637008,9.477941356630756,0.0419657053570623,0.0102583817958206,19.09612121436137,5.490353781577783,87899.28301453557,389.5085616993221,95.21411601819244
2002-01-11,206.4695093802281,16.493413160415525,10.145829243993978,0.0808097443572347,0.0154023135504296,19.472852767503618,5.8001076098204445,94093.33552281036,750.0430894241928,142.9579926472084
2002-01-12,205.48885316281925,16.340623539709718,9.094752287942889,0.0265749179052599,0.0139681235388353,20.204152553211344,6.549553558598405,84345.55302937297,246.657549598732,129.646425884144
2002-01-13,204.55219495586127,16.22378418082553,8.909709111599625,0.2112403447115549,0.019366096706958,20.72067641122136,7.37809599527812,82629.44592179671,1960.6467266877496,179.7482113043468
2002-01-14,203.7389768087208,16.219622430468775,9.256309274002412,0.8013264364437261,0.0190817539741877,20.85677922008113,8.134753166100822,85843.84708989559,7437.585167582857,177.10905802600516
2002-01-15,208.26007121323752,19.84769260052185,13.13540665957004,8.374136499807854,0.1324824728475288,20.4910120223474,9.134099665232544,121818.9461230218,77725.31965711457,1229.6482809034048
2002-01-16,211.6270427880796,20.55784324601469,11.432356899988031,2.3595963634191857,0.0713532343178986,19.201852842787503,8.780096662838927,106024.70904424856,21900.811100073355,662.2716200117973
2002-01-17,211.20367910195412,19.95847881740353,9.688030543307942,1.5114156508510457,0.0329739674833065,18.52608332190416,8.330340554462797,89847.66908100054,14028.343650698658,306.0509179737053
2002-01-18,210.347808064732,19.451330271738343,8.197602783720036,3.310618116231913,0.0541417107710565,17.81660436837014,8.876299907430411,76025.3076078432,30727.80714198582,502.5212780517692
2002-01-19,209.6019975671482,19.144187697096747,7.508382839377416,1.3421455863194005,0.029915430668883,17.78913566430329,7.852815985344789,69633.41967907359,12457.24794735009,277.66282666547613
2002-01-20,209.04401480218465,18.94733494122148,5.327486199297606,2.2188387871970754,0.0313386527346501,16.727794342735372,7.054600970898576,49407.58753064905,20594.35668459121,290.8725934285742
2002-01-21,208.37620448270965,18.73126228175129,8.375809588856697,0.3587640893486591,0.0145139433066705,17.206876531351842,6.367998975775821,77678.01359223557,3329.901957862518,134.71250236034388
2002-01-22,207.5245455965077,18.47749381933388,8.368059335001101,0.6832980463760878,0.0125338385410787,17.148000957022493,5.910191130037544,77606.13703893627,6342.09378804393,116.33397749826015
