scheme,reading,n_refits,R2_mean,R2_sd,RMSE_mean,RMSE_sd,MAE_mean,NSE_mean,R2_leaky_mean,RMSE_leaky_mean,RMSE_leak_penalty
random,"OPTIMISTIC - autocorrelation leak, do not quote as skill",5,0.7128706001999316,0.03485554860284706,74.54190165751766,3.6062292018042563,58.23538800224245,0.7098222058840646,0.7143951400410534,73.95183872878201,0.590062928735648
blocked,honest: interior gap-filling,5,0.774797727901712,0.07311462381325637,71.74371542653132,10.29445843307483,55.5327983349534,0.7213702974732901,0.7803600434939629,70.13856389469706,1.6051515318342666
forward,honest: out-of-record extrapolation,1,0.7301823834076648,,91.0865335557471,,73.0160487415638,0.6580223507863214,0.7643017727799633,77.23301612976691,13.853517425980186
