date,observed,predicted,n_cells,month,residual
2002-04-01,13.01497397565712,-56.38020390491018,367,4,-69.3951778805673
2002-05-01,-7.318772983810891,-52.92688353116444,367,5,-45.608110547353554
2002-07-01,170.63063593196608,156.90690866602168,367,7,-13.723727265944405
2002-08-01,237.56006292036508,231.28130778164265,367,8,-6.278755138722431
2002-09-01,181.6327533877838,185.8473397757355,367,9,4.214586387951698
2002-10-01,107.56958845070987,97.86677007340619,367,10,-9.702818377303686
2002-11-01,48.03484919220615,41.77373989481944,367,11,-6.26110929738671
2002-12-01,27.09188615138914,20.598265471049185,367,12,-6.493620680339955
2003-01-01,18.173452528036258,-5.952684754350074,367,1,-24.12613728238633
2003-02-01,-6.0795117308073525,5.514956898024106,367,2,11.594468628831459
2003-03-01,-45.73368628603236,-50.32982517721639,367,3,-4.596138891184033
2003-04-01,-76.53310029188358,-67.20247874663073,367,4,9.330621545252853
2003-06-01,106.11094043690112,81.17210189139615,367,6,-24.938838545504964
2003-07-01,237.13146922763752,231.85535204550104,367,7,-5.276117182136488
2003-08-01,350.2339801112702,275.16753302945705,367,8,-75.06644708181318
2003-09-01,284.6092297160333,243.62829258964913,367,9,-40.98093712638419
2003-10-01,183.81841198105252,136.13711334025282,367,10,-47.681298640799696
2003-11-01,133.28852480178958,66.92462208223598,367,11,-66.3639027195536
2003-12-01,112.83400185296581,43.563940651226055,367,12,-69.27006120173976
2004-02-01,40.666418302936194,-20.432909442549356,367,2,-61.09932774548555
2004-03-01,-29.134589087410912,-70.61635419986561,367,3,-41.481765112454696
2004-04-01,-65.5112332622102,-89.35127492554602,367,4,-23.840041663335825
2004-05-01,-27.102915522106986,-86.56219109663218,367,5,-59.45927557452519
2004-06-01,92.27231247093762,55.63835682869661,367,6,-36.63395564224101
2004-07-01,205.56106734730568,183.99189256144612,367,7,-21.56917478585956
2004-08-01,213.49706583256943,215.7928501239675,367,8,2.295784291398064
2004-09-01,179.1898321923508,146.95143157543495,367,9,-32.23840061691584
2004-10-01,110.66849661003342,76.3684885944693,367,10,-34.30000801556412
2004-11-01,58.96591994271941,26.633686115065537,367,11,-32.33223382765387
2004-12-01,19.56701331015179,-8.368381819369176,367,12,-27.935395129520966
2005-01-01,18.560425475767587,-13.903015438757457,367,1,-32.463440914525044
2005-02-01,-14.279852698869211,-34.58160651501902,367,2,-20.301753816149805
2005-03-01,-67.17751042784397,-90.76075413397857,367,3,-23.583243706134596
2005-04-01,-91.77246752486892,-108.3049840133116,367,4,-16.53251648844268
2005-05-01,-124.26351854911617,-126.4839806051452,367,5,-2.220462056029035
2005-06-01,80.26705892599246,9.959834380220299,367,6,-70.30722454577216
2005-07-01,184.8750966491751,183.88781318409622,367,7,-0.9872834650788889
2005-08-01,206.1666702119791,182.828270776023,367,8,-23.33839943595609
2005-09-01,163.94395131603574,145.2889725512173,367,9,-18.654978764818424
2005-10-01,85.46377620612569,69.50203150441638,367,10,-15.961744701709307
2005-11-01,14.04544587989594,7.908254938846212,367,11,-6.137190941049728
2005-12-01,-12.73649473086365,-18.541348644104158,367,12,-5.804853913240509
2006-01-01,-50.19858622421036,-50.43499278653038,367,1,-0.23640656232002044
2006-02-01,-73.44471070811925,-92.27291749366042,367,2,-18.82820678554117
2006-03-01,-119.33709227064325,-114.70407327885516,367,3,4.6330189917880915
2006-04-01,-139.83065105199165,-143.8482417262307,367,4,-4.017590674239045
2006-05-01,-106.09504288613634,-127.65818575961718,367,5,-21.563142873480842
2006-06-01,8.475320977313642,-6.023952253953914,367,6,-14.499273231267555
2006-07-01,141.3286009146667,157.73094345015448,367,7,16.402342535487776
2006-08-01,177.4197911930344,175.63186943241354,367,8,-1.7879217606208613
2006-09-01,94.45829337299357,110.52044160430505,367,9,16.062148231311483
2006-10-01,26.159887315142058,24.4156790224786,367,10,-1.7442082926634583
2006-11-01,-21.14349000265553,-32.052858229346526,367,11,-10.909368226690997
2006-12-01,-69.91361122105361,-57.420656233095016,367,12,12.492954987958598
2007-01-01,-71.59695732106304,-84.34525865605698,367,1,-12.74830133499394
2007-02-01,-61.27214420848711,-71.40534748272752,367,2,-10.133203274240408
2007-03-01,-117.04349477024753,-107.4155715820338,367,3,9.627923188213728
2007-04-01,-142.08202783759347,-126.41023776482487,367,4,15.671790072768601
2007-05-01,-129.2943362410127,-128.39701882597453,367,5,0.8973174150381737
2007-06-01,-2.5514853357943936,-11.148971968806453,367,6,-8.59748663301206
2007-07-01,147.13396375494366,148.16729497461526,367,7,1.0333312196715951
2007-08-01,163.58308870482387,180.57382208232644,367,8,16.99073337750258
2007-09-01,102.07459090256236,133.54877026997463,367,9,31.474179367412262
2007-10-01,10.230742941110595,38.173392264476476,367,10,27.94264932336588
2007-11-01,-42.814553597317726,-20.62102678165686,367,11,22.193526815660867
2007-12-01,-67.61212191627202,-48.93921074174771,367,12,18.67291117452431
2008-01-01,-104.37591459445798,-75.07808553122659,367,1,29.29782906323139
2008-02-01,-140.4303466991118,-111.15522420459583,367,2,29.27512249451597
2008-03-01,-187.20903326704976,-157.85055200279712,367,3,29.358481264252646
2008-04-01,-212.65358450399756,-176.17316734169484,367,4,36.48041716230273
2008-05-01,-128.19606403612636,-154.3613343679839,367,5,-26.165270331857528
2008-06-01,107.74603765731936,96.81614940541078,367,6,-10.92988825190858
2008-07-01,222.6924735856641,207.51216345373712,367,7,-15.180310131926973
2008-08-01,199.3756587680744,210.41186264637616,367,8,11.036203878301762
2008-09-01,132.23069922215933,131.16625143969725,367,9,-1.0644477824620822
2008-10-01,50.297679464563686,37.022311246715255,367,10,-13.275368217848431
2008-11-01,-12.477303811574824,-19.661937159559574,367,11,-7.18463334798475
2008-12-01,-43.68585230284231,-54.7823631250415,367,12,-11.096510822199193
2009-01-01,-83.63224854066522,-85.38382157121471,367,1,-1.751573030549494
2009-02-01,-126.6845257808467,-132.02232161687212,367,2,-5.337795836025421
2009-03-01,-164.36302400219992,-182.2551459505209,367,3,-17.892121948320977
2009-04-01,-190.30504639402074,-196.54966587417596,367,4,-6.244619480155222
2009-05-01,-210.61964084926677,-188.73986365604856,367,5,21.879777193218217
2009-06-01,-133.59973046045536,-108.18656499888972,367,6,25.41316546156564
2009-07-01,24.499260335917043,72.57793726604791,367,7,48.07867693013087
2009-08-01,66.18468685370391,110.8957795579573,367,8,44.71109270425339
2009-09-01,14.9539194639762,56.08604518362459,367,9,41.13212571964839
2009-10-01,-45.45217790655609,-13.287289542889283,367,10,32.164888363666805
2009-11-01,-86.16228820842359,-61.83738496103488,367,11,24.32490324738871
2009-12-01,-116.44960968403466,-81.05585364906462,367,12,35.39375603497004
2010-01-01,-146.5997564747158,-111.12543406626948,367,1,35.47432240844633
2010-02-01,-203.1208094667024,-140.75031623256342,367,2,62.37049323413899
2010-03-01,-251.18303386262068,-195.28215276854525,367,3,55.90088109407543
2010-04-01,-280.0019572099483,-218.08042171846506,367,4,61.92153549148321
2010-05-01,-267.66735433947485,-215.12273664575645,367,5,52.54461769371841
2010-06-01,-153.62999784848995,-127.25024983967745,367,6,26.3797480088125
2010-07-01,2.583560153476546,56.48664790859352,367,7,53.90308775511697
2010-08-01,106.27601273897884,139.67285630585798,367,8,33.39684356687914
2010-09-01,38.35485699780955,104.98875800208599,367,9,66.63390100427644
2010-10-01,-36.350048237990286,0.06592378635735469,367,10,36.41597202434764
2010-11-01,-80.380117105853,-60.745317960613875,367,11,19.63479914523913
2011-02-01,-152.92321801770285,-150.5284455674037,367,2,2.3947724502991434
2011-03-01,-230.9638849876882,-205.8964226172117,367,3,25.067462370476505
2011-04-01,-244.81144452419852,-223.73819864029744,367,4,21.07324588390108
2011-07-01,73.84193900300632,105.80383892771272,367,7,31.9618999247064
2011-08-01,206.32570237619674,165.30921655397012,367,8,-41.01648582222663
2011-09-01,114.81790723982559,99.45538511436145,367,9,-15.362522125464139
2011-10-01,61.866945768247184,-7.416596941491537,367,10,-69.28354270973873
2011-12-01,-41.32050370000689,-99.63880027467054,367,12,-58.318296574663655
2012-01-01,-83.52668340719363,-113.95820421947381,367,1,-30.431520812280183
2012-02-01,-135.76487718291114,-148.28105692838798,367,2,-12.516179745476848
2012-03-01,-160.4613823331994,-206.59390415641067,367,3,-46.13252182321128
2012-05-01,-272.3563182529377,-235.98874388334173,367,5,36.36757436959596
2012-06-01,-137.21320386673514,-142.0629595406882,367,6,-4.849755673953069
2012-07-01,46.146951071897696,51.34877088328014,367,7,5.2018198113824425
2012-08-01,141.6746451094625,127.78194577864411,367,8,-13.892699330818374
2012-11-01,-74.28499024570475,-89.55564929313326,367,11,-15.27065904742851
2012-12-01,-118.9568642387598,-133.85537698654377,367,12,-14.898512747783968
2013-01-01,-122.8241513532254,-153.98793530343673,367,1,-31.163783950211325
2013-04-01,-220.02455936400702,-227.27325524271458,367,4,-7.248695878707565
2013-05-01,-187.65329830263227,-231.0281192985578,367,5,-43.374820995925546
2013-06-01,27.217957161427844,-27.636381505142683,367,6,-54.85433866657053
2013-09-01,109.46508890406638,33.217196839309906,367,9,-76.24789206475647
2013-10-01,35.48152450254893,-26.54897564409848,367,10,-62.03050014664741
2013-11-01,-19.74683233567739,-89.33184988072512,367,11,-69.58501754504772
2013-12-01,-47.66651354173873,-119.39226520797695,367,12,-71.72575166623821
2014-02-01,-68.3925252558425,-132.25942924745834,367,2,-63.86690399161584
2014-03-01,-135.64596297240712,-182.6355702458376,367,3,-46.989607273430494
2014-04-01,-174.42596485959086,-215.92604913000372,367,4,-41.500084270412856
2014-05-01,-195.45039370794063,-240.09797558713132,367,5,-44.64758187919068
2014-07-01,51.76076036188193,8.028049895419501,367,7,-43.73271046646243
2014-08-01,67.48004947826064,36.982043320835004,367,8,-30.498006157425635
2014-09-01,15.933944585212897,-6.088859340148692,367,9,-22.02280392536159
2014-10-01,-64.99857946442648,-93.74866916288528,367,10,-28.750089698458794
2015-01-01,-167.9465037431639,-167.03371206886916,367,1,0.9127916742947377
2015-02-01,-146.70352509106212,-200.0467038305587,367,2,-53.34317873949658
2015-03-01,-189.95212848829638,-205.52770033304313,367,3,-15.575571844746747
2015-04-01,-189.39261739000636,-212.73967739737586,367,4,-23.347060007369492
2015-06-01,-72.4800320464194,-112.99399125223127,367,6,-40.51395920581187
2015-07-01,44.38310496878559,18.687514091392,367,7,-25.695590877393588
2015-08-01,13.85461054705794,45.26944689696469,367,8,31.41483634990675
2015-12-01,-224.4350790496743,-213.25060223735954,367,12,11.184476812314756
2016-01-01,-271.3901654251265,-234.18604822943485,367,1,37.20411719569165
2016-02-01,-306.16050515447716,-272.1486372831585,367,2,34.01186787131866
2016-05-01,-376.6706296000883,-299.08959949599557,367,5,77.58103010409275
2016-06-01,-177.4724317545462,-169.9679238016162,367,6,7.504507952929998
