metric,point,mean,lower,upper,std,n_groups,n_boot,resampling_unit
MAE,70.10627697272568,70.26598948843169,65.25028919445589,75.7703832510931,2.633218841481277,19,2000,"group (mascon), not row"
RMSE,88.21458748458006,88.35696764635841,82.06163506639732,95.07712678479014,3.214747371792962,19,2000,"group (mascon), not row"
R2,0.6381787653362414,0.6415053620553886,0.5797339808925213,0.693929490948926,0.02964660773660811,19,2000,"group (mascon), not row"
NSE,0.6350723600699203,0.6323332275075484,0.5559104863820344,0.6886874340926743,0.03443962990947802,19,2000,"group (mascon), not row"
PBIAS,,,,,,19,2000,"group (mascon), not row"
