config,n_features,RMSE,RMSE_sd,RMSE_min,RMSE_max,RMSE_per_repeat,n_repeats,n_predictors,antecedent,api_tau,note,dRMSE_vs_full,dRMSE_pct,features_saved,paired_d_vs_full,paired_d_sd,repeats_beating_full,paired_p
full,78,77.27292709208854,0.40689163247111326,77.01431167308006,77.74193959897325,"77.062530,77.014312,77.741940",3,5,"1,2,3,6,12,24","3,12,60,120",current default,0.0,0.0,0,,,,
drop_runoff_anom,69,78.02257724528407,0.34886594370143803,77.70507596182502,78.39604199443573,"77.705076,77.966614,78.396042",3,4,"1,2,3,6,12,24","3,12,60,120",drops the per-pixel runoff anomaly; the only trim measured to clear the noise band,0.7496501531955317,0.970132983706118,9,0.7496500000000026,0.17559686817252768,0.0,0.017802296981839827
thin_ante,63,77.64837880177687,0.5583679003854903,77.26345856543912,78.28878090382779,"77.392897,77.263459,78.288781",3,5,"1,3,12","3,12,60,120",drop windows correlated >0.94 with a neighbour,0.37545170968833474,0.48587742669680073,15,0.3754516666666679,0.15388274687350043,0.0,0.05169182485629601
lean,60,77.63264061303728,0.554338822749059,77.25574506885746,78.2691440088949,"77.373033,77.255745,78.269144",3,5,"1,3,12","3,12,60","also drop tau=120mo, longer than the record can constrain",0.35971352094874476,0.4655104115831707,18,0.3597133333333365,0.14910569670650511,0.0,0.05278016285647621
minimal,52,77.59715727427997,0.5627660424534536,77.13789023046805,78.22492513958011,"77.428656,77.137890,78.224925",3,5,"1,3","3,12","deliberately too small, to bracket the cost",0.3242301821914282,0.41959091546387656,26,0.3242296666666675,0.18332982564856873,0.0,0.09208719639215605
