MAE,RMSE,R2,NSE,PBIAS,n,mascon,n_train,n_excluded,n_train_mascons
88.210347195155,110.85487886349337,0.7302704131858058,0.6584968826401063,,4313,3,63106,6,15
55.17209947182032,67.61552298022968,0.8784137440721438,0.8575684252217689,,454,4,79677,5,16
78.01508300286966,99.04431851155802,0.8185686500609778,0.6962075972400841,,1362,6,76953,7,15
105.9839566239488,127.68411910353193,0.8145310976105073,0.6716758356089159,,1816,7,76726,7,14
71.93826674728557,88.79866871494941,0.8561065877503055,0.7707113775489952,,6356,8,49486,7,14
75.8441031594694,93.15397328105918,0.8176386307605125,0.7424526707732761,,2724,10,61744,7,13
62.325130581547235,78.1647251971488,0.7736050048850582,0.7716160896027483,,6129,11,44038,7,14
68.68961006713272,85.43083487389285,0.6974947472139041,0.6965949636308035,,7718,13,47670,7,14
90.59507441457393,110.05465907510384,0.3601074301639017,-5.143021854467123,,1589,17,57885,7,14
153.222309501279,178.6521736176934,0.6136061759138611,0.3241278495526885,,227,18,69235,7,14
70.20177559286441,89.49710696455362,0.6971545908304534,0.6724492467250247,,9080,19,53572,7,12
54.33488993404059,67.76613531027124,0.7376269394313217,0.6101310723723594,,9534,20,36093,7,12
57.37357863373654,68.1055409754211,0.2933679366472464,-9.21552058543655,,227,24,72186,7,15
67.45993738516336,82.4112766564122,0.5929054355071117,-0.04248300096551083,,4994,26,49259,7,14
73.36642382457715,88.71133747066236,0.41804926474575993,-0.24498549360324495,,227,28,70143,5,15
61.89918311241577,77.42590505699778,0.7506148369202393,0.5966117246312437,,9534,29,29056,7,12
65.04098323842211,78.95367109644376,0.1981598213182365,-0.5401243962805093,,681,32,66057,7,15
74.64366192810877,92.83206635896084,0.6003033396041597,0.4979885174032832,,7945,33,44492,7,12
75.25067738670244,93.2869565330956,0.5190691965210633,0.5110847789549291,,8399,34,51756,7,14
