region,lat_min,lat_max,lon_min,lon_max,n_tested,n_significant,mean_significant_mm_yr,median_significant_mm_yr,min_significant_mm_yr,pct_negative_significant,mean_all_tested_mm_yr
basin,,,,,9538,8071,-18.161343184121257,-11.871543884277344,-83.88685607910156,75.5048940651716,-15.333216519076965
northwest_plain,27.0,90.0,-180.0,79.5,1328,1328,-56.440551414547194,-51.757835388183594,-83.88685607910156,100.0,-56.440551414547194
northern_plain_himalayan_front,27.0,90.0,79.5,180.0,2352,2046,-14.352556763506355,-11.632127285003662,-73.96617126464844,76.1485826001955,-12.430180648765463
southern_plateau,-90.0,27.0,-180.0,79.5,2129,1888,-12.194499853935282,-9.812041282653809,-47.52394104003906,67.47881355932203,-10.780236043845369
eastern_plain_delta,-90.0,27.0,79.5,180.0,3729,2809,-6.848914808885786,-5.914218902587891,-34.893184661865234,68.85012459950161,-5.124231551942678
northwest_plain_lowland,27.0,30.0,-180.0,79.5,1025,1025,-50.40846889030642,-46.750328063964844,-81.99116516113281,100.0,-50.40846889030642
