model,mascon,calendar_month,rmse,n
random_forest,29,3,36.385928622616554,798
random_forest,29,4,40.525319176866255,840
random_forest,29,5,42.06627290395869,840
random_forest,29,6,36.12062884782847,798
random_forest,29,7,36.43775505638893,798
random_forest,29,8,31.812572923311894,840
random_forest,29,9,32.11475495579671,756
random_forest,29,10,25.49198685070622,756
random_forest,29,11,27.69722899629234,756
random_forest,29,12,37.638267963188994,798
random_forest,32,1,10.289780502814914,54
random_forest,32,2,9.141684998472806,57
random_forest,32,3,10.095440155270921,57
random_forest,32,4,8.254975261724706,60
random_forest,32,5,7.080983723383057,60
random_forest,32,6,8.052461724274846,57
random_forest,32,7,14.470473420861724,57
random_forest,32,8,14.87817248143951,60
random_forest,32,9,17.9698784844609,54
random_forest,32,10,16.63808791096204,54
random_forest,32,11,14.260924823387148,54
random_forest,32,12,10.928310309295327,57
random_forest,33,1,10.852446115017067,630
random_forest,33,2,17.40304553887434,665
random_forest,33,3,22.6530246334132,665
random_forest,33,4,23.65408184127339,700
random_forest,33,5,21.47087222998017,700
random_forest,33,6,16.46796679908966,665
random_forest,33,7,27.32012705983787,665
random_forest,33,8,45.98231941788733,700
random_forest,33,9,34.37980174658567,630
random_forest,33,10,16.501569674986257,630
random_forest,33,11,12.684485631756804,630
random_forest,33,12,9.841105146578446,665
random_forest,34,1,26.041671293431893,666
random_forest,34,2,32.63627325460133,703
random_forest,34,3,27.566597151501227,703
random_forest,34,4,28.744724166844055,740
random_forest,34,5,31.508137037140415,740
random_forest,34,6,25.75445470320393,703
random_forest,34,7,31.98208554490845,703
random_forest,34,8,40.53446168850232,740
random_forest,34,9,32.80167564023063,666
random_forest,34,10,21.00994716122566,666
random_forest,34,11,25.57332606838025,666
random_forest,34,12,28.95648326443603,703
xgboost,3,1,17.58226617153194,342
xgboost,3,2,18.211806347976037,361
xgboost,3,3,16.800215534382204,361
xgboost,3,4,18.619789086541598,380
xgboost,3,5,17.64350481242719,380
xgboost,3,6,27.14036815425754,361
xgboost,3,7,35.08462281136166,361
xgboost,3,8,36.932712619729564,380
xgboost,3,9,40.786371536990515,342
xgboost,3,10,32.22944157112106,342
xgboost,3,11,29.098145044085292,342
xgboost,3,12,23.840198975126366,361
xgboost,4,1,7.990472803097562,36
xgboost,4,2,10.772675857097932,38
xgboost,4,3,11.579377574286784,38
xgboost,4,4,9.7403788882048,40
xgboost,4,5,10.588292161569568,40
xgboost,4,6,25.716022727317647,38
xgboost,4,7,38.23040462372598,38
xgboost,4,8,54.814029084839156,40
xgboost,4,9,49.93374638320256,36
xgboost,4,10,32.61932762029575,36
xgboost,4,11,12.388437015465653,36
xgboost,4,12,13.520145022573542,38
xgboost,6,1,11.198986126363327,108
xgboost,6,2,10.542467487804437,114
xgboost,6,3,10.92089900930021,114
xgboost,6,4,18.237675568832145,120
xgboost,6,5,27.395420210844712,120
xgboost,6,6,20.11854337349395,114
xgboost,6,7,15.15097207681141,114
xgboost,6,8,13.094322164441433,120
xgboost,6,9,11.0987036135677,108
xgboost,6,10,12.357612789648963,108
xgboost,6,11,8.62158254912213,108
xgboost,6,12,9.150161752420736,114
xgboost,7,1,11.737712692130517,144
xgboost,7,2,13.14095391115034,152
xgboost,7,3,11.16144928919904,152
xgboost,7,4,15.791795611382343,160
xgboost,7,5,21.998344594441612,160
xgboost,7,6,15.107246461289774,152
xgboost,7,7,13.070935731554469,152
xgboost,7,8,15.131279701937117,160
xgboost,7,9,13.402473983675149,144
xgboost,7,10,16.430510497894392,144
xgboost,7,11,13.527975957081477,144
xgboost,7,12,13.408459602825229,152
xgboost,8,1,16.334816387849862,504
xgboost,8,2,19.95648914568695,532
xgboost,8,3,19.842464740592092,532
xgboost,8,4,21.208633672963575,560
xgboost,8,5,20.511207583336937,560
xgboost,8,6,21.641497482698004,532
xgboost,8,7,21.26271772747682,532
xgboost,8,8,24.287225214827355,560
xgboost,8,9,19.0953428161316,504
xgboost,8,10,19.016648403394022,504
xgboost,8,11,22.395396552087973,504
xgboost,8,12,20.57884662199869,532
xgboost,10,1,31.906104752994267,216
xgboost,10,2,35.50541075128954,228
xgboost,10,3,24.617865827109473,228
xgboost,10,4,17.214336284180057,240
xgboost,10,5,35.27875197816077,240
xgboost,10,6,38.04296684786251,228
xgboost,10,7,19.404331738239943,228
xgboost,10,8,17.558012717933718,240
xgboost,10,9,19.828823124782815,216
xgboost,10,10,16.09691950263572,216
xgboost,10,11,24.40446803525081,216
xgboost,10,12,30.52965104344509,228
xgboost,11,1,19.495010363306704,486
xgboost,11,2,24.12371180222099,513
xgboost,11,3,21.785664962198346,513
xgboost,11,4,23.315475287303578,540
xgboost,11,5,18.084945197635356,540
xgboost,11,6,26.89380665721027,513
xgboost,11,7,32.50947029428443,513
xgboost,11,8,35.44439384785286,540
xgboost,11,9,29.609237411933094,486
xgboost,11,10,27.631576135680685,486
xgboost,11,11,26.210331568805923,486
xgboost,11,12,27.73830215925908,513
xgboost,13,1,26.244904144977436,612
xgboost,13,2,32.578069914657355,646
xgboost,13,3,38.999539665890865,646
xgboost,13,4,42.134718464903195,680
xgboost,13,5,42.89118340074652,680
xgboost,13,6,26.362300070482693,646
xgboost,13,7,26.448932979140345,646
xgboost,13,8,24.08857284112265,680
xgboost,13,9,29.160340780423596,612
xgboost,13,10,26.78073872462867,612
xgboost,13,11,23.681882899015257,612
xgboost,13,12,25.424243486494035,646
xgboost,17,1,25.56214038969273,126
xgboost,17,2,29.52151068312865,133
xgboost,17,3,29.86304226954294,133
xgboost,17,4,32.579708021156,140
xgboost,17,5,31.68599081879603,140
xgboost,17,6,30.57838466300936,133
xgboost,17,7,28.24113721211177,133
xgboost,17,8,22.197142297501035,140
xgboost,17,9,17.4682032302094,126
xgboost,17,10,21.070006570750515,126
xgboost,17,11,24.219493974508033,126
xgboost,17,12,26.841175370567207,133
xgboost,18,1,0.0,18
xgboost,18,2,0.0,19
xgboost,18,3,0.0,19
xgboost,18,4,0.0,20
xgboost,18,5,0.0,20
xgboost,18,6,0.0,19
xgboost,18,7,0.0,19
xgboost,18,8,0.0,20
xgboost,18,9,0.0,18
xgboost,18,10,0.0,18
xgboost,18,11,0.0,18
xgboost,18,12,0.0,19
xgboost,19,1,34.914171696847674,720
xgboost,19,2,49.44103133568599,760
xgboost,19,3,49.03344377126799,760
xgboost,19,4,46.76428167862454,800
xgboost,19,5,45.07230879032804,800
xgboost,19,6,46.15609674056928,760
xgboost,19,7,47.658379105190825,760
xgboost,19,8,48.740095284254195,800
xgboost,19,9,41.49120186225315,720
xgboost,19,10,19.287094629556098,720
xgboost,19,11,24.033206651460556,720
xgboost,19,12,26.242898468777874,760
xgboost,20,1,20.259366100485696,756
xgboost,20,2,32.15381743445297,798
xgboost,20,3,34.344746715052906,798
xgboost,20,4,38.19743791122504,840
xgboost,20,5,36.65767027599081,840
xgboost,20,6,37.60171115560784,798
xgboost,20,7,29.263846618060395,798
xgboost,20,8,29.768950535601956,840
xgboost,20,9,28.447882888331424,756
xgboost,20,10,26.154923866459697,756
xgboost,20,11,29.915842256920353,756
xgboost,20,12,26.50969962424401,798
xgboost,24,1,0.0,18
xgboost,24,2,0.0,19
xgboost,24,3,0.0,19
xgboost,24,4,0.0,20
xgboost,24,5,0.0,20
xgboost,24,6,0.0,19
xgboost,24,7,0.0,19
xgboost,24,8,0.0,20
xgboost,24,9,0.0,18
xgboost,24,10,0.0,18
xgboost,24,11,0.0,18
xgboost,24,12,0.0,19
xgboost,26,1,20.00932891728331,396
xgboost,26,2,28.034684194313012,418
xgboost,26,3,24.07029961639182,418
xgboost,26,4,23.686201923153103,440
xgboost,26,5,34.42767849355822,440
xgboost,26,6,28.686486222245772,418
xgboost,26,7,20.61933037244733,418
xgboost,26,8,22.969225155902073,440
xgboost,26,9,28.041493152619356,396
xgboost,26,10,19.575175101666353,396
xgboost,26,11,17.14556324979129,396
xgboost,26,12,19.667947770055868,418
xgboost,28,1,0.0,18
xgboost,28,2,0.0,19
xgboost,28,3,0.0,19
xgboost,28,4,0.0,20
xgboost,28,5,0.0,20
xgboost,28,6,0.0,19
xgboost,28,7,0.0,19
xgboost,28,8,0.0,20
xgboost,28,9,0.0,18
xgboost,28,10,0.0,18
xgboost,28,11,0.0,18
xgboost,28,12,0.0,19
xgboost,29,1,23.596061013141938,756
xgboost,29,2,31.22254751272144,798
xgboost,29,3,35.90114262970168,798
xgboost,29,4,36.74947314248068,840
xgboost,29,5,39.51079655078395,840
xgboost,29,6,39.58225885508202,798
xgboost,29,7,40.109556154416076,798
xgboost,29,8,36.256385266737226,840
xgboost,29,9,36.624729141975465,756
xgboost,29,10,27.77828819999186,756
xgboost,29,11,29.162842673424635,756
xgboost,29,12,37.557264941203364,798
xgboost,32,1,12.620260902669155,54
xgboost,32,2,12.07465192176011,57
xgboost,32,3,12.573819361026036,57
xgboost,32,4,12.230267622108286,60
xgboost,32,5,9.214232898063177,60
xgboost,32,6,9.460783358993748,57
xgboost,32,7,14.051506686337683,57
xgboost,32,8,17.572463100826887,60
xgboost,32,9,19.759749806389216,54
xgboost,32,10,20.449287543667094,54
xgboost,32,11,17.607808821759452,54
xgboost,32,12,12.878004126019432,57
xgboost,33,1,12.623451190277768,630
xgboost,33,2,20.8246069331859,665
xgboost,33,3,21.96371079618295,665
xgboost,33,4,23.959673471946417,700
xgboost,33,5,22.079980142273175,700
xgboost,33,6,17.400934724649005,665
xgboost,33,7,28.014613142460238,665
xgboost,33,8,42.74780807901076,700
xgboost,33,9,33.44594555959984,630
xgboost,33,10,22.947224874076586,630
xgboost,33,11,21.770475311602894,630
xgboost,33,12,17.009336666989242,665
xgboost,34,1,26.55966929456858,666
xgboost,34,2,30.48054663472329,703
xgboost,34,3,29.667073076896703,703
xgboost,34,4,30.94526216067123,740
xgboost,34,5,33.131887085934565,740
xgboost,34,6,30.38740130845399,703
xgboost,34,7,34.870346342504384,703
xgboost,34,8,43.52778725850154,740
xgboost,34,9,36.82717521349297,666
xgboost,34,10,25.56844407747538,666
xgboost,34,11,27.64345894900382,666
xgboost,34,12,29.18968825740682,703
lightgbm,3,1,18.28327171977501,342
lightgbm,3,2,19.609479984086196,361
lightgbm,3,3,20.127052495513187,361
lightgbm,3,4,20.04503191447214,380
lightgbm,3,5,18.394411698006067,380
lightgbm,3,6,28.799254344577278,361
lightgbm,3,7,34.89424026333259,361
lightgbm,3,8,34.16631456749235,380
lightgbm,3,9,37.93009095329167,342
lightgbm,3,10,33.35227252827529,342
lightgbm,3,11,32.68578046061538,342
lightgbm,3,12,23.96665560573789,361
lightgbm,4,1,9.032573447980107,36
lightgbm,4,2,12.409065146403577,38
lightgbm,4,3,11.601381168168148,38
lightgbm,4,4,9.401857288720546,40
lightgbm,4,5,11.950895341039175,40
lightgbm,4,6,26.860862136862487,38
lightgbm,4,7,34.72922405727995,38
lightgbm,4,8,41.279364190543,40
lightgbm,4,9,42.37042403736915,36
lightgbm,4,10,29.576962778103763,36
lightgbm,4,11,12.53783313316255,36
lightgbm,4,12,14.245179394409766,38
lightgbm,6,1,14.706730292590882,108
lightgbm,6,2,9.750175564872718,114
lightgbm,6,3,12.678223353993069,114
lightgbm,6,4,16.328128343323378,120
lightgbm,6,5,27.217806128064485,120
lightgbm,6,6,23.55719878924298,114
lightgbm,6,7,19.158047886651104,114
lightgbm,6,8,16.486076973747874,120
lightgbm,6,9,14.704044496365555,108
lightgbm,6,10,11.263099914164135,108
lightgbm,6,11,9.030823375163113,108
lightgbm,6,12,11.629781592641075,114
lightgbm,7,1,12.782621725391914,144
lightgbm,7,2,11.682217420529668,152
lightgbm,7,3,9.754145352791774,152
lightgbm,7,4,15.331859224096313,160
lightgbm,7,5,21.414433223850175,160
lightgbm,7,6,15.315747465140419,152
lightgbm,7,7,15.225172168089983,152
lightgbm,7,8,14.408804868115544,160
lightgbm,7,9,14.73518478926022,144
lightgbm,7,10,12.347476737590746,144
lightgbm,7,11,12.96150566914173,144
lightgbm,7,12,13.43061347719041,152
lightgbm,8,1,17.06648167750047,504
lightgbm,8,2,20.660074732844652,532
lightgbm,8,3,21.659559063588272,532
lightgbm,8,4,22.84471121234536,560
lightgbm,8,5,19.35496891990401,560
lightgbm,8,6,21.79810019184578,532
lightgbm,8,7,21.803806494281222,532
lightgbm,8,8,24.858768047400723,560
lightgbm,8,9,20.761732403521748,504
lightgbm,8,10,20.950153449223492,504
lightgbm,8,11,25.857160361533882,504
lightgbm,8,12,21.927683929344884,532
lightgbm,10,1,36.1634595793757,216
lightgbm,10,2,41.21846418035171,228
lightgbm,10,3,26.823053762703502,228
lightgbm,10,4,19.379750691382288,240
lightgbm,10,5,39.22483192519282,240
lightgbm,10,6,35.10407665455141,228
lightgbm,10,7,19.85422184300505,228
lightgbm,10,8,20.092532195456247,240
lightgbm,10,9,18.79660394679208,216
lightgbm,10,10,15.206796929050132,216
lightgbm,10,11,28.75404372541638,216
lightgbm,10,12,29.8562264625329,228
lightgbm,11,1,22.552450553564586,486
lightgbm,11,2,25.95179918916092,513
lightgbm,11,3,25.35106666886315,513
lightgbm,11,4,25.572727212067246,540
lightgbm,11,5,19.24715829816502,540
lightgbm,11,6,26.7055060307114,513
lightgbm,11,7,34.722485703034174,513
lightgbm,11,8,34.973161712913495,540
lightgbm,11,9,29.819935503081684,486
lightgbm,11,10,29.563798877834042,486
lightgbm,11,11,27.598661209005613,486
lightgbm,11,12,30.61749747193364,513
lightgbm,13,1,24.406736193145868,612
lightgbm,13,2,34.38980743417869,646
lightgbm,13,3,41.37385096146428,646
lightgbm,13,4,41.855531454541534,680
lightgbm,13,5,42.156657407842815,680
lightgbm,13,6,29.37895549405358,646
lightgbm,13,7,32.91887502360661,646
lightgbm,13,8,26.61449036581976,680
lightgbm,13,9,37.55058085210229,612
lightgbm,13,10,27.821265392434242,612
lightgbm,13,11,24.941284660131142,612
lightgbm,13,12,26.057256968854972,646
lightgbm,17,1,32.3061958463214,126
lightgbm,17,2,28.04518568116232,133
lightgbm,17,3,25.51710965124988,133
lightgbm,17,4,26.7687164024286,140
lightgbm,17,5,31.060174509232976,140
lightgbm,17,6,37.487627457462956,133
lightgbm,17,7,21.95075994058954,133
lightgbm,17,8,14.836429168652389,140
lightgbm,17,9,21.163126279119957,126
lightgbm,17,10,21.74526715729545,126
lightgbm,17,11,20.053376761708304,126
lightgbm,17,12,29.11297076106239,133
lightgbm,18,1,0.0,18
lightgbm,18,2,0.0,19
lightgbm,18,3,0.0,19
lightgbm,18,4,0.0,20
lightgbm,18,5,0.0,20
lightgbm,18,6,0.0,19
lightgbm,18,7,0.0,19
lightgbm,18,8,0.0,20
lightgbm,18,9,0.0,18
lightgbm,18,10,0.0,18
lightgbm,18,11,0.0,18
lightgbm,18,12,0.0,19
lightgbm,19,1,30.901982020986967,720
lightgbm,19,2,43.17978729353857,760
lightgbm,19,3,47.565115895978124,760
lightgbm,19,4,49.31472668547505,800
lightgbm,19,5,52.35021955362687,800
lightgbm,19,6,43.84876646109913,760
lightgbm,19,7,50.81410497102941,760
lightgbm,19,8,51.889062023792604,800
lightgbm,19,9,41.535716954087015,720
lightgbm,19,10,21.66355258704652,720
lightgbm,19,11,28.954024555491035,720
lightgbm,19,12,27.567332211473165,760
lightgbm,20,1,26.854470046365087,756
lightgbm,20,2,35.00397046780971,798
lightgbm,20,3,33.7493675060056,798
lightgbm,20,4,37.28776768977221,840
lightgbm,20,5,37.09998720338465,840
lightgbm,20,6,38.163102638959295,798
lightgbm,20,7,31.004361849194073,798
lightgbm,20,8,32.57612143349344,840
lightgbm,20,9,31.062426936434985,756
lightgbm,20,10,28.487316400197585,756
lightgbm,20,11,32.865827432664425,756
lightgbm,20,12,31.276058236786227,798
lightgbm,24,1,0.0,18
lightgbm,24,2,0.0,19
lightgbm,24,3,0.0,19
lightgbm,24,4,0.0,20
lightgbm,24,5,0.0,20
lightgbm,24,6,0.0,19
lightgbm,24,7,0.0,19
lightgbm,24,8,0.0,20
lightgbm,24,9,0.0,18
lightgbm,24,10,0.0,18
lightgbm,24,11,0.0,18
lightgbm,24,12,0.0,19
lightgbm,26,1,22.598355455878956,396
lightgbm,26,2,35.64555042048763,418
lightgbm,26,3,26.406710017903837,418
lightgbm,26,4,24.89835789873679,440
lightgbm,26,5,31.535800563387095,440
lightgbm,26,6,28.01806331592027,418
lightgbm,26,7,22.988840567020077,418
lightgbm,26,8,24.96002653314285,440
lightgbm,26,9,27.307628089904025,396
lightgbm,26,10,21.363900705257237,396
lightgbm,26,11,18.71687705328933,396
lightgbm,26,12,19.59240370410661,418
lightgbm,28,1,0.0,18
lightgbm,28,2,0.0,19
lightgbm,28,3,0.0,19
lightgbm,28,4,0.0,20
lightgbm,28,5,0.0,20
lightgbm,28,6,0.0,19
lightgbm,28,7,0.0,19
lightgbm,28,8,0.0,20
lightgbm,28,9,0.0,18
lightgbm,28,10,0.0,18
lightgbm,28,11,0.0,18
lightgbm,28,12,0.0,19
lightgbm,29,1,27.403550370381947,756
lightgbm,29,2,32.1525694541555,798
lightgbm,29,3,34.75857806776886,798
lightgbm,29,4,37.8065882181452,840
lightgbm,29,5,42.78241602591857,840
lightgbm,29,6,39.3909457056985,798
lightgbm,29,7,47.160296286389226,798
lightgbm,29,8,37.735366476950325,840
lightgbm,29,9,41.94850292836475,756
lightgbm,29,10,29.2917776335643,756
lightgbm,29,11,31.676358896646757,756
lightgbm,29,12,40.673998479600876,798
lightgbm,32,1,15.882465002401831,54
lightgbm,32,2,13.494941643838217,57
lightgbm,32,3,12.71662987060667,57
lightgbm,32,4,11.812102399217332,60
lightgbm,32,5,11.214335676739966,60
lightgbm,32,6,11.168037746026384,57
lightgbm,32,7,18.577868898011328,57
lightgbm,32,8,16.17529237202085,60
lightgbm,32,9,19.331006868887094,54
lightgbm,32,10,22.42740233877745,54
lightgbm,32,11,19.895068250374358,54
lightgbm,32,12,15.645493743276234,57
lightgbm,33,1,15.408912450209407,630
lightgbm,33,2,24.5696942350346,665
lightgbm,33,3,24.399917195484846,665
lightgbm,33,4,23.52788786121451,700
lightgbm,33,5,20.50405953502217,700
lightgbm,33,6,17.8367155173175,665
lightgbm,33,7,30.39275584095078,665
lightgbm,33,8,47.06981035660464,700
lightgbm,33,9,32.5072778931275,630
lightgbm,33,10,20.414565965624647,630
lightgbm,33,11,15.41810738158111,630
lightgbm,33,12,13.431010456691665,665
lightgbm,34,1,29.15732816736606,666
lightgbm,34,2,35.29864414307107,703
lightgbm,34,3,31.268509545946593,703
lightgbm,34,4,28.546842152436355,740
lightgbm,34,5,31.822363320160246,740
lightgbm,34,6,26.71058244757888,703
lightgbm,34,7,37.93641821902533,703
lightgbm,34,8,46.67678441065662,740
lightgbm,34,9,37.01916468784148,666
lightgbm,34,10,26.502488346822776,666
lightgbm,34,11,29.23748651779688,666
lightgbm,34,12,32.50519127261894,703
xgboost_rf,3,1,17.426356817524656,342
xgboost_rf,3,2,15.636730401012718,361
xgboost_rf,3,3,15.497799081348171,361
xgboost_rf,3,4,15.648694158505503,380
xgboost_rf,3,5,14.728897489033326,380
xgboost_rf,3,6,26.57394929430083,361
xgboost_rf,3,7,32.266026219067285,361
xgboost_rf,3,8,36.67897885079701,380
xgboost_rf,3,9,40.79862301440682,342
xgboost_rf,3,10,33.65284308608997,342
xgboost_rf,3,11,29.35139899187832,342
xgboost_rf,3,12,22.60289179419306,361
xgboost_rf,4,1,3.970597956660428,36
xgboost_rf,4,2,8.37076432651944,38
xgboost_rf,4,3,9.680188544607288,38
xgboost_rf,4,4,7.010652968670071,40
xgboost_rf,4,5,10.758842629750857,40
xgboost_rf,4,6,13.584290870094407,38
xgboost_rf,4,7,27.623427256274066,38
xgboost_rf,4,8,31.801846990671695,40
xgboost_rf,4,9,37.039905768895714,36
xgboost_rf,4,10,20.716606318282267,36
xgboost_rf,4,11,5.358971522755257,36
xgboost_rf,4,12,6.594746909705525,38
xgboost_rf,6,1,10.635107942159657,108
xgboost_rf,6,2,7.838347531799548,114
xgboost_rf,6,3,9.711264709388852,114
xgboost_rf,6,4,16.06464441770288,120
xgboost_rf,6,5,27.526082962727504,120
xgboost_rf,6,6,18.48969270594471,114
xgboost_rf,6,7,8.735742739644861,114
xgboost_rf,6,8,8.665171611771145,120
xgboost_rf,6,9,8.065278140887793,108
xgboost_rf,6,10,9.454968181463208,108
xgboost_rf,6,11,8.568013444484652,108
xgboost_rf,6,12,10.776537941322495,114
xgboost_rf,7,1,8.627990420510468,144
xgboost_rf,7,2,11.452842873972598,152
xgboost_rf,7,3,11.220290459058916,152
xgboost_rf,7,4,15.36921494375012,160
xgboost_rf,7,5,19.13776431966342,160
xgboost_rf,7,6,12.823842397383228,152
xgboost_rf,7,7,9.628883522813279,152
xgboost_rf,7,8,9.844254203030445,160
xgboost_rf,7,9,11.458770544553113,144
xgboost_rf,7,10,14.248203127134625,144
xgboost_rf,7,11,11.549619298641968,144
xgboost_rf,7,12,12.49550122241996,152
xgboost_rf,8,1,13.360627843763186,504
xgboost_rf,8,2,15.445841588551527,532
xgboost_rf,8,3,18.458988939267243,532
xgboost_rf,8,4,19.492476935412945,560
xgboost_rf,8,5,16.88987841980643,560
