well_id,lat,lon,n_months,RMSE,MAE,MBE,R2,NSE
22.4917_88.3167,22.4917,88.3167,45,306.77598712207566,250.6138430783559,65.97356291698355,0.0029210903839951767,-19.34085083803791
22.5486_75.7619,22.5486,75.7619,64,125.07979257093481,103.5384513650773,5.2525047688509705,0.342713094516089,-16.229593591810435
22.6392_76.3472,22.6392,76.3472,65,90.11569944345062,71.35749738971825,27.015284481789454,0.48076670437118746,-0.6354339332692136
22.7089_76.2753,22.7089,76.2753,63,133.91163890719497,104.29726429066572,45.48700337388398,0.1878272720169764,-7.905546405080342
22.7300_76.2292,22.73,76.2292,60,103.80053950901656,78.89452641560197,18.543440265206378,0.404287431847837,-0.5800279774855706
22.8581_76.2500,22.8581,76.25,64,127.59703715974156,104.24419451513955,39.223800322909135,0.5841228134552686,-7.2264014993488495
22.8583_81.6458,22.8583,81.6458,63,107.28227075174321,83.89198645635175,52.59409567622118,0.3533421278759707,-1.6183940516402742
22.9083_82.9500,22.9083,82.95,61,106.97503827367892,87.13699872215174,-4.930873746277169,0.32225724646992265,0.2406344324600881
22.9167_77.6511,22.9167,77.6511,64,113.478052404533,86.18051158243877,41.007022640643385,0.18117661061028362,-1.4175828242132678
22.9333_81.6083,22.9333,81.6083,59,141.28823792741846,118.08133714192807,69.40241150841169,0.3638519481085752,0.13776258530615848
22.9711_75.8278,22.9711,75.8278,63,151.02400266132753,125.32421522813142,17.352376403163984,0.618410790827141,-22.171388131340294
22.9736_76.0681,22.9736,76.0681,64,127.47599229890434,105.4024246176271,-1.2277180853884246,0.5261919689148825,-1.8033699957780733
22.9836_81.8894,22.9836,81.8894,65,88.45050877411138,65.71371679289366,39.79307458800546,0.6643590835759254,-1.4187207358108127
22.9878_76.2069,22.9878,76.2069,65,123.18854665652592,95.70926763229915,31.683502025414622,0.4792549216053738,-0.29519803850980386
23.0097_81.6103,23.0097,81.6103,64,111.08924943959825,82.25305422290585,57.751059770756406,0.4021847304305075,-2.0835498380257813
23.0261_77.6786,23.0261,77.6786,65,100.36876828130765,83.16117083054321,34.35268308963533,0.3505366152196475,-0.4756586884229528
23.0306_81.8389,23.0306,81.8389,62,149.26281703262995,115.00631860099618,103.83537980282946,0.2157352533671063,-1.651934813549342
23.0319_77.0189,23.0319,77.0189,64,139.6675393109348,111.19152652951685,71.9484046038726,0.4203058667406202,-15.299728031783307
23.0392_80.4422,23.0392,80.4422,64,131.98132223280197,102.36611987339532,86.01261112455018,0.3531519211221143,-14.384542975328149
23.0583_83.1000,23.0583,83.1,61,87.17191509056245,64.27893236439566,-9.101244668032944,0.535704371465299,-0.5086561418644282
23.0667_88.7542,23.0667,88.7542,49,178.5903477631965,128.03804328048975,67.64156822254806,0.26415279935626,-11.788578936260912
23.0844_82.0694,23.0844,82.0694,64,103.68277820460776,78.75784306609111,41.86850827059018,0.5185806675217474,0.3630077125116359
23.0917_80.5000,23.0917,80.5,62,141.35595538221114,111.65802961164906,91.55631636957969,0.34649994464509587,-32.48477224383275
23.1000_83.3542,23.1,83.3542,61,83.05465553669049,65.28683119801414,-17.597583383400845,0.5716763741567608,-1.0304398999480417
23.1261_80.6261,23.1261,80.6261,63,139.26682128312407,108.80853946152298,93.40404702229617,0.37808606995169475,-40.27408090413859
23.1533_76.9625,23.1533,76.9625,64,135.85990174125578,106.94585879266384,65.224041862244,0.31307440449189444,-3.983218405791064
23.1617_77.0564,23.1617,77.0564,64,152.9331479334021,120.01996269705494,91.41014608819316,0.21927288136569226,-8.053119655288775
23.1833_80.7006,23.1833,80.7006,65,135.86241304755725,104.401465412519,82.01895753637363,0.3249446521466596,-24.708039887787628
23.1847_82.9717,23.1847,82.9717,63,91.5501456315615,70.45975624720253,-11.703207100459496,0.42008505368440435,0.10546590244331211
23.1958_81.9786,23.1958,81.9786,65,84.0609319048639,64.4199228823651,15.443497234805838,0.6781954338632648,-2.056291763688416
23.1972_75.8667,23.1972,75.8667,64,152.40976556342127,128.33765754874713,35.98797224603543,0.41545044744099346,-3.4372521113198617
23.2078_76.7394,23.2078,76.7394,57,131.7807315277556,104.07962832989878,74.59255884148739,0.4620553173985425,-2.4762438903736297
23.2103_81.4181,23.2103,81.4181,64,120.53123808099576,84.26605356229265,53.642004239588175,0.2419049877638553,-1.1152236222254501
23.2144_82.1042,23.2144,82.1042,62,84.62517284364965,67.08931136855068,-24.785645744157964,0.6534889268750839,0.6158007971745667
23.2250_81.5244,23.225,81.5244,60,159.41467498972622,126.31574738632293,86.61829052473674,0.0018294781977851587,-5.138816037752423
23.2544_77.5806,23.2544,77.5806,64,273.48406451541405,224.30774727547447,-28.588583769373727,0.2864788445753753,0.257350526732957
23.3000_83.0792,23.3,83.0792,62,111.80983935021182,85.57233238900433,-28.693109323472562,0.3406229354045026,0.10983472973219188
23.3103_76.3333,23.3103,76.3333,62,138.6490525542773,111.26094894878672,67.98255995021046,0.507217237574564,-2.2849357515020583
23.3106_75.7922,23.3106,75.7922,60,150.53821395129214,127.38455323884162,3.7893759600362698,0.48407738412191986,-8.820985317739142
23.3175_77.0472,23.3175,77.0472,64,130.05634452260455,104.36560292379457,52.82911462688724,0.3807103038679976,-0.1455358273803098
23.3192_78.0906,23.3192,78.0906,63,135.21221829322383,102.22636892023085,64.92475719280402,0.10526396460019281,-12.629321829518242
23.3219_81.2978,23.3219,81.2978,64,168.30747514069625,124.27026776086741,97.38154392359493,0.038587165070615576,-2.8838074133306835
23.3342_76.8333,23.3342,76.8333,62,126.69931827029464,97.01625769253816,63.28775624379073,0.41326756197999714,-2.3814902907408335
